Algorithm,Size,Type,Time(ms)
Insertion,100,Reverse,0.5723999347537756
Selection,100,Reverse,0.3092000260949135
Merge,100,Reverse,0.1650999765843153
Quick,100,Reverse,0.12330012395977974
Heap,100,Reverse,0.19910000264644623
3-Way Merge,100,Reverse,0.20030001178383827
Cycle,100,Reverse,0.4952999297529459
Timsort,100,Reverse,0.02910010516643524
Bubble,100,AlmostSorted,0.3625000827014446
Insertion,100,AlmostSorted,0.03169989213347435
Selection,100,AlmostSorted,0.2804000396281481
Merge,100,AlmostSorted,0.16820011660456657
Quick,100,AlmostSorted,0.12730015441775322
Heap,100,AlmostSorted,0.24000019766390324
3-Way Merge,100,AlmostSorted,0.18610013648867607
Cycle,100,AlmostSorted,0.273499870672822
Timsort,100,AlmostSorted,0.04610000178217888
Bubble,100,FewUnique,0.5322999786585569
Insertion,100,FewUnique,0.260600121691823
Selection,100,FewUnique,0.29419991187751293
Merge,100,FewUnique,0.20280014723539352
Quick,100,FewUnique,0.07690000347793102
Heap,100,FewUnique,0.2095999661833048
3-Way Merge,100,FewUnique,0.23179990239441395
Cycle,100,FewUnique,0.6886001210659742
Timsort,100,FewUnique,0.12659979984164238
Bubble,100,RandomFloat,0.5246000364422798
Insertion,100,RandomFloat,0.2863002009689808
Selection,100,RandomFloat,0.26599992997944355
Merge,100,RandomFloat,0.20279991440474987
Quick,100,RandomFloat,0.1583998091518879
Heap,100,RandomFloat,0.2256000880151987
3-Way Merge,100,RandomFloat,0.22749998606741428
Cycle,100,RandomFloat,0.7460000924766064
Timsort,100,RandomFloat,0.14020013622939587
Bubble,100,SortedFloat,0.31109992414712906
Insertion,100,SortedFloat,0.014899997040629387
Selection,100,SortedFloat,0.25809998624026775
Merge,100,SortedFloat,0.15119998715817928
Quick,100,SortedFloat,0.11550006456673145
Heap,100,SortedFloat,0.23990008048713207
3-Way Merge,100,SortedFloat,0.18349988386034966
Cycle,100,SortedFloat,0.22200006060302258
Timsort,100,SortedFloat,0.013199867680668831
Bubble,100,ReverseFloat,0.6951000541448593
Insertion,100,ReverseFloat,0.5575001705437899
Selection,100,ReverseFloat,0.28249993920326233
Merge,100,ReverseFloat,0.16360008157789707
Quick,100,ReverseFloat,0.13749999925494194
Heap,100,ReverseFloat,0.1984999980777502
3-Way Merge,100,ReverseFloat,0.19299983978271484
Cycle,100,ReverseFloat,0.4580998793244362
Timsort,100,ReverseFloat,0.020900042727589607
Bubble,100,RandomString,0.7001999765634537
Insertion,100,RandomString,0.33980002626776695
Selection,100,RandomString,0.40179979987442493
Merge,100,RandomString,0.2194000408053398
Quick,100,RandomString,0.22209994494915009
Heap,100,RandomString,0.26040012016892433
3-Way Merge,100,RandomString,0.25199982337653637
Cycle,100,RandomString,1.1050999164581299
Timsort,100,RandomString,0.16649998724460602
Bubble,100,SortedString,0.48530008643865585
Insertion,100,SortedString,0.018799910321831703
Selection,100,SortedString,0.3937000874429941
Merge,100,SortedString,0.1642999704927206
Quick,100,SortedString,0.14599994756281376
Heap,100,SortedString,0.2878999803215265
3-Way Merge,100,SortedString,0.19630021415650845
Cycle,100,SortedString,0.3674998879432678
Timsort,100,SortedString,0.01650000922381878
Bubble,100,ReverseString,0.8927001617848873
Insertion,100,ReverseString,0.7427998352795839
Selection,100,ReverseString,0.43049990199506283
Merge,100,ReverseString,0.17339992336928844
Quick,100,ReverseString,0.14440016821026802
Heap,100,ReverseString,0.2438998781144619
3-Way Merge,100,ReverseString,0.2071999479085207
Cycle,100,ReverseString,0.6899998988956213
Timsort,100,ReverseString,0.01950003206729889
Bubble,1000,Random,65.74440002441406
Insertion,1000,Random,32.3165999725461
Selection,1000,Random,29.154500225558877
Merge,1000,Random,4.467200022190809
Quick,1000,Random,3.056999994441867
Heap,1000,Random,5.055600078776479
3-Way Merge,1000,Random,4.4484001118689775
Cycle,1000,Random,92.82310004346073
Counting,1000,Random,13.785500079393387
Radix,1000,Random,2.1100000012665987
Timsort,1000,Random,1.8621999770402908
Bubble,1000,Sorted,37.99660014919937
Insertion,1000,Sorted,0.16440008766949177
Selection,1000,Sorted,28.565000044181943
Merge,1000,Sorted,1.9118001218885183
Quick,1000,Sorted,1.4645000919699669
Heap,1000,Sorted,3.9882001001387835
3-Way Merge,1000,Sorted,2.474399982020259
Cycle,1000,Sorted,24.927199818193913
Timsort,1000,Sorted,0.10689999908208847
Bubble,1000,Reverse,81.07239985838532
Insertion,1000,Reverse,61.1177000682801
Selection,1000,Reverse,28.940799878910184
Merge,1000,Reverse,1.946799922734499
Quick,1000,Reverse,2.0607998594641685
Heap,1000,Reverse,4.244699841365218
3-Way Merge,1000,Reverse,3.680099966004491
Cycle,1000,Reverse,64.7144999820739
Timsort,1000,Reverse,0.13440009206533432
Bubble,1000,AlmostSorted,43.687199940904975
Insertion,1000,AlmostSorted,1.8523000180721283
Selection,1000,AlmostSorted,27.781599899753928
Merge,1000,AlmostSorted,2.287000184878707
Quick,1000,AlmostSorted,1.5561999753117561
Heap,1000,AlmostSorted,4.233299987390637
3-Way Merge,1000,AlmostSorted,2.6808998081833124
Cycle,1000,AlmostSorted,25.97550000064075
Timsort,1000,AlmostSorted,0.8882000111043453
Bubble,1000,FewUnique,63.489300198853016
Insertion,1000,FewUnique,31.72990004532039
Selection,1000,FewUnique,34.90479988977313
Merge,1000,FewUnique,2.8275002259761095
Quick,1000,FewUnique,0.6826999597251415
Heap,1000,FewUnique,3.4262998960912228
3-Way Merge,1000,FewUnique,3.1485999934375286
Cycle,1000,FewUnique,82.19139999710023
Timsort,1000,FewUnique,1.8233000300824642
Bubble,1000,RandomFloat,68.31160001456738
Insertion,1000,RandomFloat,43.710799887776375
Selection,1000,RandomFloat,28.267100220546126
Merge,1000,RandomFloat,2.736399881541729
Quick,1000,RandomFloat,2.0862999372184277
Heap,1000,RandomFloat,3.6216999869793653
3-Way Merge,1000,RandomFloat,3.0579001177102327
Cycle,1000,RandomFloat,85.21709986962378
Timsort,1000,RandomFloat,1.9042999483644962
Bubble,1000,SortedFloat,34.29270000196993
Insertion,1000,SortedFloat,0.15680002979934216
Selection,1000,SortedFloat,26.007800130173564
Merge,1000,SortedFloat,1.8726000562310219
Quick,1000,SortedFloat,1.364799914881587
Heap,1000,SortedFloat,3.886100137606263
3-Way Merge,1000,SortedFloat,2.3782001808285713
Cycle,1000,SortedFloat,23.191599873825908
Timsort,1000,SortedFloat,0.1113000325858593
Bubble,1000,ReverseFloat,76.95870008319616
Insertion,1000,ReverseFloat,62.957199988886714
Selection,1000,ReverseFloat,37.72840020246804
Merge,1000,ReverseFloat,2.6887001004070044
Quick,1000,ReverseFloat,1.617899863049388
Heap,1000,ReverseFloat,3.4115000162273645
3-Way Merge,1000,ReverseFloat,2.8381000738590956
Cycle,1000,ReverseFloat,54.09049987792969
Timsort,1000,ReverseFloat,0.13349996879696846
Bubble,1000,RandomString,81.68479986488819
Insertion,1000,RandomString,39.261800004169345
Selection,1000,RandomString,43.10190002433956
Merge,1000,RandomString,4.137999843806028
Quick,1000,RandomString,2.7495999820530415
Heap,1000,RandomString,4.575199913233519
